"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Clemson",66.0181,306,64.2304,325,114.423,76,117.288,68,96.3971,14,96.424,15,20.8644,32
"2026","Cleveland St.",71.1619,70,68.9317,100,110.495,129,110.691,143,124.24,362,123.173,359,-12.4822,303
"2026","Coastal Carolina",68.611,202,67.1324,193,102.083,286,103.611,279,104.603,102,109.583,165,-5.9718,232
"2026","Colgate",66.9855,263,66.4394,226,110.108,141,109.479,173,111.376,256,113.345,256,-3.86581,210
"2026","Colorado",70.053,122,68.6881,111,116.36,58,120.104,49,110.924,249,108.482,142,11.6219,72
"2026","Colorado St.",63.6786,360,61.3736,365,116.402,57,118.672,58,112.776,276,111.156,219,7.51609,98
"2026","Columbia",67.8779,225,67.279,185,112.052,104,110.05,157,108.49,195,111.096,215,-1.04679,176
"2026","Connecticut",66.8425,269,64.8321,307,117.511,47,122.627,25,94.3838,9,92.0192,5,30.6079,8
"2026","Coppin St.",69.756,135,68.6209,115,91.7643,361,94.0166,360,122.565,360,125.309,364,-31.2926,364
"2026","Cornell",72.9157,24,72.4684,12,119.155,30,119.767,51,119.22,350,120.73,352,-0.962552,173
"2026","Creighton",68.1615,218,66.2079,239,112.528,97,118.653,59,110.282,236,107.256,123,11.3967,74
"2026","CSUN",75.3649,6,73.7411,1,105.99,219,108.136,192,108.243,183,110.038,176,-1.9027,187
"2026","Dartmouth",69.2167,158,69.4094,77,106.888,199,107.149,214,110.805,247,112.648,242,-5.49874,229
"2026","Davidson",64.3888,349,63.6501,340,109.305,159,112.383,122,106.53,141,106.173,106,6.20952,107
"2026","Dayton",69.0088,178,67.7427,155,109.076,166,110.444,152,100.796,44,102.098,55,8.34587,90
"2026","Delaware",63.9701,354,62.8475,358,101.089,302,102.274,301,110.52,239,113.46,262,-11.1864,291
"2026","Delaware St.",67.3239,245,66.8026,210,87.9268,364,90.4121,364,106.149,125,112.667,243,-22.2545,358
"2026","Denver",70.1244,116,68.2882,131,114.4,77,114.507,95,122.81,361,123.576,362,-9.06893,268
"2026","DePaul",68.1435,219,66.3045,234,105.066,231,108.443,189,102.094,59,101.923,53,6.5198,104
"2026","Detroit Mercy",71.1151,71,69.0564,93,108.013,179,107.64,206,115.841,318,116.295,305,-8.65519,264
"2026","Drake",68.4116,206,66.8698,205,110.417,130,110.742,141,110.341,237,111.856,236,-1.11398,177
"2026","Drexel",64.817,338,63.3796,348,103.496,261,103.338,284,101.576,55,107.526,130,-4.188,214
"2026","Duke",68.7483,192,65.9798,252,122.234,10,126.976,5,92.588,2,91.2247,4,35.7513,3
"2026","Duquesne",71.3864,61,70.3376,41,111.147,116,111.652,133,106.599,144,107.403,127,4.24836,122
"2026","East Carolina",69.2222,157,68.5652,117,98.6097,328,101.174,313,109.918,230,109.593,166,-8.419,261
"2026","East Tennessee St.",66.8036,274,65.8869,254,116.131,60,112.561,119,103.244,77,109.09,152,3.47045,129
"2026","East Texas A&M",70.3173,108,69.1995,85,96.9396,340,99.7238,332,110.698,243,111.2,220,-11.4764,294
"2026","Eastern Illinois",66.5035,291,65.2257,288,93.9576,354,96.1477,355,108.693,200,110.726,200,-14.5783,322
"2026","Eastern Kentucky",69.1435,168,67.348,181,109.384,155,109.824,161,117.723,340,118.775,338,-8.95085,265
"2026","Eastern Michigan",68.4074,207,65.7249,260,102.132,285,103.707,276,106.643,146,107.812,133,-4.105,213
"2026","Eastern Washington",69.4542,145,67.8351,151,107.61,185,109.834,160,116.632,330,115.633,296,-5.79846,231
"2026","Elon",69.0742,170,67.2524,186,115.989,62,114.471,97,114.425,304,115.682,297,-1.21106,179
"2026","Evansville",67.9745,223,67.3468,182,95.3783,347,100.531,322,112.725,275,112.786,246,-12.2555,302
"2026","Fairfield",67.0575,257,66.6787,215,109.157,164,107.257,211,108.517,197,116.307,306,-9.04972,267
"2026","Fairleigh Dickinson",65.6615,320,65.083,297,99.9633,314,101.401,312,114.002,300,118.573,337,-17.1724,340
"2026","FIU",72.738,27,72.5182,10,107.301,190,107.886,199,109.758,228,110.341,185,-2.45532,196
"2026","Florida",72.4614,30,69.8657,60,119.155,31,124.878,14,98.4645,25,93.5974,7,31.281,7
"2026","Florida A&M",70.2373,110,67.4891,171,96.5123,345,98.5021,343,109.054,213,113.454,261,-14.9524,326
"2026","Florida Atlantic",71.4677,56,70.2793,46,110.898,120,112.942,115,106.228,126,107.093,120,5.84868,109
"2026","Florida Gulf Coast",70.0136,123,67.6772,161,110.231,138,109.527,172,113.326,286,114,269,-4.47242,219
"2026","Florida St.",73.9386,13,71.4521,21,109.345,156,114.116,101,107.769,170,106.457,110,7.65937,95
"2026","Fordham",64.7113,339,63.9543,331,104.908,235,104.854,253,102.221,62,105.63,95,-0.775799,169
"2026","Fresno St.",70.5101,96,68.5262,118,103.195,266,106.909,223,102.596,69,104.065,73,2.84384,134
"2026","Furman",67.1971,253,66.3732,230,111.274,115,108.529,187,106.962,152,109.686,168,-1.15706,178
"2026","Gardner Webb",71.1906,68,69.6538,68,90.8522,363,96.1363,356,124.944,364,123.45,361,-27.3137,363
"2026","George Mason",65.8976,312,64.5037,321,115.667,65,115.446,78,101.78,56,104.411,75,11.0348,76
"2026","George Washington",71.2333,65,69.818,62,117.472,48,118.815,57,105.057,108,108.541,143,10.2735,78
"2026","Georgetown",67.0254,259,65.4349,275,110.669,125,115.252,83,107.18,156,105.792,98,9.45981,84
"2026","Georgia",75.4575,4,73.153,7,119.465,27,121.264,39,101.02,48,102.639,60,18.6249,40
"2026","Georgia Southern",72.0274,37,70.3623,39,109.185,163,107.985,194,110.171,234,116.53,310,-8.54511,263
"2026","Georgia St.",69.1518,167,67.7082,157,99.1685,325,102.064,304,108.11,180,111.386,222,-9.32229,274
"2026","Georgia Tech",71.7249,47,70.4358,37,103.398,263,108.167,191,102.88,72,105.393,91,2.7739,135
"2026","Gonzaga",72.329,33,69.7381,65,121.303,17,123.158,22,91.3896,1,94.0351,9,29.1228,11
"2026","Grambling St.",69.1993,163,66.7654,211,101.645,292,102.421,297,106.499,140,110.782,203,-8.36081,260
"2026","Grand Canyon",69.0607,172,67.7067,158,107.652,184,110.338,153,97.4403,19,97.9779,20,12.36,64
"2026","Green Bay",65.022,336,62.9746,353,112.471,100,112.106,126,119.447,353,118.479,335,-6.37259,239
"2026","Hampton",65.4595,325,64.9476,304,100.974,305,102.667,290,106.26,128,110.938,207,-8.27042,259
"2026","Harvard",64.2283,352,62.9223,356,109.911,146,109.602,169,107.249,159,109.855,172,-0.253262,165
"2026","Hawaii",72.0101,39,69.5242,73,109.622,151,107.891,198,93.1199,4,100.088,37,7.80255,93
"2026","High Point",70.1289,115,68.964,98,122.485,8,119.323,54,102.165,60,111.78,232,7.54287,97
"2026","Hofstra",66.3293,295,65.2521,284,112.891,90,114.609,89,107.582,163,109.349,157,5.25996,114
"2026","Holy Cross",65.5858,322,64.8307,308,101.044,303,100.944,317,113.897,298,116.757,314,-15.8135,331
"2026","Houston",65.1671,332,63.4381,346,120.333,24,125.906,11,93.8902,8,94.5201,11,31.3856,6
"2026","Houston Christian",64.3946,348,63.9164,332,105.361,227,106.465,229,116.246,328,119.062,339,-12.5972,305
"2026","Howard",69.0105,177,68.5209,119,102.02,289,100.467,323,100.222,38,107.819,134,-7.3518,251
"2026","Idaho",69.323,154,67.2073,187,110.25,136,109.562,170,109.415,221,110.977,211,-1.41505,183
"2026","Idaho St.",66.5244,289,63.9681,330,110.195,139,111.496,135,114.847,307,115.969,302,-4.47272,220
"2026","Illinois",66.8949,267,65.6938,262,126.488,1,131.08,1,102.262,63,98.9537,24,32.1262,5
"2026","Illinois Chicago",67.4306,243,66.2511,238,106.87,201,109.199,180,104.788,107,106.08,102,3.11926,132
"2026","Illinois St.",68.2248,215,66.4137,228,110.103,142,110.656,144,98.2603,23,101.548,51,9.10736,86
"2026","Incarnate Word",66.8288,271,66.9284,204,106.492,208,107.956,196,113.232,284,115.337,291,-7.38157,253
"2026","Indiana",68.3817,209,66.988,198,117.327,50,121.726,35,103.025,74,101.424,49,20.3026,34
"2026","Indiana St.",68.796,190,68.47,121,104.19,250,107.146,215,106.74,149,109.747,170,-2.60111,197
"2026","Iona",69.5922,139,69.3475,83,104.725,244,103.587,281,103.616,84,109.571,164,-5.98381,233
"2026","Iowa",64.3435,350,63.5686,341,121.076,18,122.197,31,98.0273,22,97.2473,18,24.9492,19
"2026","Iowa St.",69.4023,149,67.4157,177,124.246,4,126.536,6,93.7186,7,93.0066,6,33.5292,4
